TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
Acetone cyanohydrin,XIC,eTargetCompound,C4H7NO,,,ESI,5000,,0,,86.06004,M+H,+,1,0,120,,,,,108.04199,M+Na,+,1,0,60,,,,,103.08659,M+NH4,+,1,0,60,,,,,84.04549,M-H,-,1,0,60,,,
Piperidine,XIC,eTargetCompound,C5H11N,,,ESI,5000,,0,,86.09643,M+H,+,1,0,120,,,,,108.07837,M+Na,+,1,0,60,,,,,103.12298,M+NH4,+,1,0,60,,,,,84.08187,M-H,-,1,0,60,,,
"1,4-Lactone",XIC,eTargetCompound,C4H6O2,,,ESI,5000,,0,,87.04406,M+H,+,1,0,120,,,,,109.026,M+Na,+,1,0,60,,,,,104.07061,M+NH4,+,1,0,60,,,,,85.0295,M-H,-,1,0,60,,,
"2,3-Butanedione (Diacetyl)",XIC,eTargetCompound,C4H6O2,,,ESI,5000,,0,,87.04406,M+H,+,1,0,120,,,,,109.026,M+Na,+,1,0,60,,,,,104.07061,M+NH4,+,1,0,60,,,,,85.0295,M-H,-,1,0,60,,,
2-Butenoate,XIC,eTargetCompound,C4H6O2,,,ESI,5000,,0,,87.04406,M+H,+,1,0,120,,,,,109.026,M+Na,+,1,0,60,,,,,104.07061,M+NH4,+,1,0,60,,,,,85.0295,M-H,-,1,0,60,,,
"2-Butyne-1,4-diol",XIC,eTargetCompound,C4H6O2,,,ESI,5000,,0,,87.04406,M+H,+,1,0,120,,,,,109.026,M+Na,+,1,0,60,,,,,104.07061,M+NH4,+,1,0,60,,,,,85.0295,M-H,-,1,0,60,,,
2-Methylbutanal,XIC,eTargetCompound,C5H10O,,,ESI,5000,,0,,87.08044,M+H,+,1,0,120,,,,,109.06239,M+Na,+,1,0,60,,,,,104.10699,M+NH4,+,1,0,60,,,,,85.06589,M-H,-,1,0,60,,,
3-Methylbutanal,XIC,eTargetCompound,C5H10O,,,ESI,5000,,0,,87.08044,M+H,+,1,0,120,,,,,109.06239,M+Na,+,1,0,60,,,,,104.10699,M+NH4,+,1,0,60,,,,,85.06589,M-H,-,1,0,60,,,
Cyclopentanol,XIC,eTargetCompound,C5H10O,,,ESI,5000,,0,,87.08044,M+H,+,1,0,120,,,,,109.06239,M+Na,+,1,0,60,,,,,104.10699,M+NH4,+,1,0,60,,,,,85.06589,M-H,-,1,0,60,,,
Pentan-2-one,XIC,eTargetCompound,C5H10O,,,ESI,5000,,0,,87.08044,M+H,+,1,0,120,,,,,109.06239,M+Na,+,1,0,60,,,,,104.10699,M+NH4,+,1,0,60,,,,,85.06589,M-H,-,1,0,60,,,
Prenol,XIC,eTargetCompound,C5H10O,,,ESI,5000,,0,,87.08044,M+H,+,1,0,120,,,,,109.06239,M+Na,+,1,0,60,,,,,104.10699,M+NH4,+,1,0,60,,,,,85.06589,M-H,-,1,0,60,,,
n-Hexane,XIC,eTargetCompound,C6H14,,,ESI,5000,,0,,87.11683,M+H,+,1,0,120,,,,,109.09877,M+Na,+,1,0,60,,,,,104.14338,M+NH4,+,1,0,60,,,,,85.10227,M-H,-,1,0,60,,,
2-Aminoacrylate,XIC,eTargetCompound,C3H5NO2,,,ESI,5000,,0,,88.0393,M+H,+,1,0,120,,,,,110.02125,M+Na,+,1,0,60,,,,,105.06585,M+NH4,+,1,0,60,,,,,86.02475,M-H,-,1,0,60,,,
2-Methylpropanal oxime,XIC,eTargetCompound,C4H9NO,,,ESI,5000,,0,,88.07569,M+H,+,1,0,120,,,,,110.05764,M+Na,+,1,0,60,,,,,105.10224,M+NH4,+,1,0,60,,,,,86.06114,M-H,-,1,0,60,,,
4-Aminobutanal,XIC,eTargetCompound,C4H9NO,,,ESI,5000,,0,,88.07569,M+H,+,1,0,120,,,,,110.05764,M+Na,+,1,0,60,,,,,105.10224,M+NH4,+,1,0,60,,,,,86.06114,M-H,-,1,0,60,,,
Morpholine,XIC,eTargetCompound,C4H9NO,,,ESI,5000,,0,,88.07569,M+H,+,1,0,120,,,,,110.05764,M+Na,+,1,0,60,,,,,105.10224,M+NH4,+,1,0,60,,,,,86.06114,M-H,-,1,0,60,,,
3-Hydroxypropenoate,XIC,eTargetCompound,C3H4O3,,,ESI,5000,,0,,89.02332,M+H,+,1,0,120,,,,,111.00527,M+Na,+,1,0,60,,,,,106.04987,M+NH4,+,1,0,60,,,,,87.00877,M-H,-,1,0,60,,,
3-Oxopropanoate,XIC,eTargetCompound,C3H4O3,,,ESI,5000,,0,,89.02332,M+H,+,1,0,120,,,,,111.00527,M+Na,+,1,0,60,,,,,106.04987,M+NH4,+,1,0,60,,,,,87.00877,M-H,-,1,0,60,,,
Pyruvic acid,XIC,eTargetCompound,C3H4O3,,,ESI,5000,,0,,89.02332,M+H,+,1,0,120,,,,,111.00527,M+Na,+,1,0,60,,,,,106.04987,M+NH4,+,1,0,60,,,,,87.00877,M-H,-,1,0,60,,,
AP001_Pyruvate,XIC,eTargetCompound,C3H4O3,,,ESI,5000,,0,,89.02332,M+H,+,1,0,120,,,,,111.00527,M+Na,+,1,0,60,,,,,106.04987,M+NH4,+,1,0,60,,,,,87.0088,M-,-,1,10.57,60,,,
